=== ROOMS WHOSE plMonsters WEIGHTS DO NOT SUM TO 100 (roll can fall through = no spawn) ===
    95%  A foul place to wander  (kocsew1.kod:64)
    60%  Castle Victoria  (castle1.kod:49)

=== FULL MONSTER TABLE ===
class	display name	lvl	maxHP	diff	karma	offense=defense	dmg/hit	atk interval ms	atk type	spell	aggro	treasure	rooms
EvilTwin	evil twin	1	1	9	0	543	1-1	1520-2020	ATCK_WEAP_SLASH	0	aggr|newbiesafe	TID_NONE	dark angel(fixed); evil twin(fixed)
OrcPitBossBody	body of the orc pit boss	1	1	1	0	63	1-1	4040-4540	ATCK_WEAP_WHIP	0	NOFIGHT	TID_NONE	orc pit boss(fixed)
Assassin	Roq	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	A shadowy corner(fixed)
BarloqueApothecary	Joguer	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Joguer's Herbs and Roots(fixed)
BarloqueBanker	Setag'lib	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	NO SPAWN IN KOD
BarloqueBartender	Meidei	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The Bhrama & Falcon(fixed)
BarloqueBlacksmith	Fehr'loi Qan	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The Royal Blacksmith of Barloque(fixed)
BarloqueClerk	Caramo	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Office of the Justicar(fixed)
BarloqueInnkeeper	Pritchett	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Brownestone Inn(fixed)
BarloqueMerchant	Herbutte	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Adventurer's Hall of Barloque(fixed); The Sparkling Stone Shop(fixed)
BarloqueTown		25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NPC-unattackable	TID_NONE	NO SPAWN IN KOD
BarloqueUrchin	urchin	25	25	0	10	75	1-3	3550-4050	ATCK_WEAP_HIT	0	NPC-unattackable	TID_WIMPY	NO SPAWN IN KOD
Barloquetailor	Madelia	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	room_name_Castle2E(fixed)
BasicInnKeeper	Rycksher	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The Duke's Grand Ballroom(fixed)
BlackMummy	shadow mummy	25	25	4	-20	315	1-3	3130-3630	ATCK_WEAP_HIT	0	aggr	TID_NEWBIE_AREA	Mausoleum(fixed)
Brambles	patch of bramble	25	25	4	0	315	1-3	3410-3910	ATCK_WEAP_SLASH	0	NOFIGHT	TID_NONE	The Badlands(fixed); bramble wall(fixed)
CorNothInnkeeper	D'Franco	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	Cibilo Creek Inn(fixed)
CorNothSergeant	Rook	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The Weapon Master's Abode(fixed)
CorNothTailor	Hester Gilk	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The Spindle and the Spinster(fixed)
CorNothTown		25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NPC-unattackable	TID_NONE	NO SPAWN IN KOD
CorNothUrchin	urchin	25	25	0	10	75	1-3	3550-4050	ATCK_WEAP_HIT	0	NPC-unattackable	TID_WIMPY	NO SPAWN IN KOD
CornothGrocer	Solomon	25	25	0	0	75	1-3	4250-4750	ATCK_WEAP_HIT	0	NOFIGHT	TID_NONE	Solomon's Edibles(fixed)
Council	Councilor	25	25	0	0	75	1-3	3690-4190	ATCK_WEAP_HIT	0	NPC-unattackable	TID_NONE	NO SPAWN IN KOD
DarkWizard	Maleval	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	The meeting place of the Gods(fixed)
Decorator	interior design consultant	25	25	0	0	75	1-3	3410-3910	ATCK_WEAP_HIT	0	NOFIGHT|NPC-unattackable	TID_NONE	A tastefully appointed room(fixed)
