OrcPitBossBody	body of the orc pit boss	1	1	1	0	TID_NONE	ATCK_WEAP_WHIP	0	1-1	SPEED_NONE	MOB_NOMOVE	AI_NOMOVE| AI_NOFIGHT	0	BossBody.kod	BossBody.kod:51	BossBody.kod:52	BossBody.kod:53	BossBody.kod:46
EvilTwin	evil twin	1	1	9	0	TID_NONE	ATCK_WEAP_SLASH	0	1-1	SPEED_AVERAGE	0	AI_FIGHT_SINGLEMINDED | AI_FIGHT_MONSTERS | AI_FIGHT_NEWBIESAFE | AI_FIGHT_AGGRESSIVE	0	eviltwin.kod	eviltwin.kod:51	eviltwin.kod:52	eviltwin.kod:53	eviltwin.kod:46
Brambles	patch of bramble	25	25	4	0	TID_NONE	ATCK_WEAP_SLASH	0	1-2	0	MOB_NOMOVE | MOB_NOFIGHT | MOVEON_NOTIFY | MOB_NOQUEST	AI_NOFIGHT | AI_NOMOVE	0	BRAMBLE.kod	BRAMBLE.kod:59	BRAMBLE.kod:60	BRAMBLE.kod:61	BRAMBLE.kod:56
Council	Councilor	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE	AI_NPC | AI_NOMOVE	0	council.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Factions		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	0	AI_NPC | AI_NOMOVE	0	factions.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Mummy	mummy	25	25	2	-20	TID_NEWBIE_AREA	ATCK_WEAP_HIT	0	1-2	SPEED_VERY_SLOW	0	AI_FIGHT_AGGRESSIVE | AI_MOVE_FLEE_FRIGHTENERS	0	mummy.kod	mummy.kod:47	mummy.kod:48	mummy.kod:49	mummy.kod:44
Priestess	priestess	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	0	0	0	0	priestes.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
SpiderBaby	baby spider	25	25	4	-10	TID_WIMPY	ATCK_WEAP_BITE	0	1-2	SPEED_SLOW	MOB_SPASM	AI_FIGHT_AGGRESSIVE	0	spdrbaby.kod	spdrbaby.kod:48	spdrbaby.kod:49	spdrbaby.kod:50	spdrbaby.kod:42
Temples		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	0	AI_NPC | AI_NOMOVE	0	temples.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
GraphicTester	test1.bgf	25	25	5	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	0	0	0	tester.kod	monster.kod:231	tester.kod:51	monster.kod:227	monster.kod:214
Thief	Thief	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	0	MOB_NOFIGHT | MOB_BUYER | MOB_RANDOM | MOB_LISTEN | MOB_NOMOVE	0	0	thief.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
Towns		25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_AVERAGE	0	AI_NPC | AI_NOMOVE	0	towns.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
FiveCouncilor	Esseldi	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER | MOB_SELLER	AI_NPC | AI_NOMOVE	MOB_ROLE_COUNCILMEMBER	council/fivecon.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
fourCouncilor	Drechx	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_COUNCILMEMBER	council/fourcon.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
OneCouncilor	Alzahakar	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_COUNCILMEMBER	council/onecon.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
ThreeCouncilor	Cylill	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_COUNCILMEMBER	council/threecon.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
TwoCouncilor	Bei Naq	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_NOMOVE | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE	AI_NPC | AI_NOMOVE	MOB_ROLE_COUNCILMEMBER	council/twocon.kod	monster.kod:231	monster.kod:230	monster.kod:227	monster.kod:214
DukeLiege	Duke Akardius	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_NOMOVE | MOB_PERM_QUESTER | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_ROYALTY	factions/duke.kod	monster.kod:231	monster.kod:230	factions/duke.kod:47	monster.kod:214
PrincessLiege	Princess Kateriina	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_NOMOVE | MOB_PERM_QUESTER | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_ROYALTY	factions/princess.kod	monster.kod:231	monster.kod:230	factions/princess.kod:37	monster.kod:214
RebelLiege	Jonas D'Accor	25	25	0	0	TID_NONE	ATCK_WEAP_HIT	0	1-2	SPEED_SLOW	MOB_NOFIGHT | MOB_LISTEN | MOB_RANDOM | MOB_RECEIVE | MOB_NOMOVE | MOB_PERM_QUESTER | MOB_TEACHER	AI_NPC | AI_NOMOVE	MOB_ROLE_ROYALTY	factions/rebel.kod	monster.kod:231	monster.kod:230	factions/rebel.kod:44	monster.kod:214
